title,release_date,runtime_min,worldwide_gross_m,type,franchise,release_mode
Toy Story,1995-11-22,81,394,Original,Toy Story,Wide theatrical
A Bug's Life,1998-11-25,95,363,Original,Standalone,Wide theatrical
Toy Story 2,1999-11-24,92,497,Sequel,Toy Story,Wide theatrical
Monsters Inc.,2001-11-02,92,579,Original,Monsters,Wide theatrical
Finding Nemo,2003-05-30,100,941,Original,Finding Nemo,Wide theatrical
The Incredibles,2004-11-05,115,632,Original,Incredibles,Wide theatrical
Cars,2006-06-09,117,462,Original,Cars,Wide theatrical
Ratatouille,2007-06-29,111,624,Original,Standalone,Wide theatrical
WALL-E,2008-06-27,98,521,Original,Standalone,Wide theatrical
Up,2009-05-29,96,735,Original,Standalone,Wide theatrical
Toy Story 3,2010-06-18,103,1067,Sequel,Toy Story,Wide theatrical
Cars 2,2011-06-24,106,560,Sequel,Cars,Wide theatrical
Brave,2012-06-22,93,539,Original,Standalone,Wide theatrical
Monsters University,2013-06-21,104,744,Sequel,Monsters,Wide theatrical
Inside Out,2015-06-19,95,859,Original,Inside Out,Wide theatrical
The Good Dinosaur,2015-11-25,93,332,Original,Standalone,Wide theatrical
Finding Dory,2016-06-17,97,1029,Sequel,Finding Nemo,Wide theatrical
Cars 3,2017-06-16,102,384,Sequel,Cars,Wide theatrical
Coco,2017-11-22,105,814,Original,Standalone,Wide theatrical
Incredibles 2,2018-06-15,118,1243,Sequel,Incredibles,Wide theatrical
Toy Story 4,2019-06-21,100,1073,Sequel,Toy Story,Wide theatrical
Onward,2020-03-06,102,142,Original,Standalone,Theatrical interrupted
Soul,2020-12-25,100,122,Original,Standalone,Streaming + limited theatrical
Luca,2021-06-18,95,51,Original,Standalone,Streaming + limited theatrical
Turning Red,2022-03-11,100,21,Original,Standalone,Streaming + limited theatrical
Lightyear,2022-06-17,105,226,Sequel,Toy Story,Wide theatrical
Elemental,2023-06-16,101,496,Original,Standalone,Wide theatrical
Inside Out 2,2024-06-14,96,1699,Sequel,Inside Out,Wide theatrical
Elio,2025-06-20,98,154,Original,Standalone,Wide theatrical
